clone	push	retard	README.md                	Makefile                 	tp1.c                    	cp.txt                   	liste.sh                 	depot, etudiant et projet
0	1	0	2020-10-15 17:17:06 -0400	2020-10-07 20:25:45 -0400	2020-10-16 13:37:16 -0400	2020-10-06 11:54:53 -0400	2020-10-16 13:36:57 -0400	github.com/my-linh-luu/inf3135-a2020
0	0	0	2020-10-16 16:55:21 -0400	2020-10-16 16:29:08 -0400	2020-10-16 16:31:02 -0400	2020-10-03 14:18:07 -0400	2020-10-16 16:30:14 -0400	github.com/Nami-R2301/inf3135-a2020
0	128	0	2020-10-18 18:57:32 -0400	2020-10-18 20:36:37 -0400	2020-10-18 12:37:33 -0400	2020-10-17 23:30:39 -0400	2020-10-14 13:18:09 -0400	github.com/nathan-crms/INF3135_a2020
0	1	0	2020-10-16 16:01:45 -0400	2020-10-13 15:57:34 -0400	2020-10-16 17:26:33 -0400	2020-10-09 15:53:46 -0400	2020-10-11 19:30:56 -0400	github.com/NicolasGuay/inf3135-a2020
0	0	0	2020-10-15 12:36:52 -0400	2020-10-12 11:07:14 -0400	2020-10-15 12:09:30 -0400	2020-09-26 07:24:05 -0400	2020-10-10 08:13:58 -0400	github.com/nineyalexandre/inf3135-a2020
0	0	0	2020-10-18 15:11:21 -0400	2020-10-18 14:59:00 -0400	2020-10-18 14:59:00 -0400	2020-10-18 14:59:00 -0400	2020-10-18 14:59:00 -0400	github.com/olivier-bouchard-uqam/inf3135-a2020
0	0	0	2020-10-18 20:08:17 -0400	2020-10-18 19:55:25 -0400	2020-10-18 19:55:25 -0400		2020-10-18 19:53:40 -0400	github.com/OthmaneLf/inf3135-a2020
0	0	0	2020-10-17 21:43:24 -0400	2020-10-17 21:43:24 -0400	2020-10-15 19:16:56 -0400	2020-10-03 16:35:44 -0400	2020-10-17 21:43:24 -0400	github.com/patlenew/inf3135-a2020
0	0	0	2020-10-18 21:11:15 -0400	2020-10-18 21:05:32 -0400	2020-10-12 23:35:50 -0400	2020-10-13 11:27:14 -0400	2020-10-18 21:05:32 -0400	github.com/Patrickcob/inf3135-a2020
0	1	0	2020-10-18 21:13:10 -0400	2020-10-16 01:34:27 -0400	2020-10-18 21:13:10 -0400	2020-10-18 21:13:10 -0400	2020-10-18 21:13:10 -0400	github.com/paulemartel/inf3135-a2020
0	0	0	2020-10-17 15:48:12 -0400		2020-10-17 15:48:12 -0400	2020-10-17 15:47:34 -0400	2020-10-17 15:48:12 -0400	github.com/pauls-n/inf3135-a2020
0	0	0	2020-10-18 18:03:59 -0400	2020-10-16 12:42:44 -0400	2020-10-15 08:40:47 -0400	2020-09-26 13:56:30 -0400	2020-10-16 12:42:44 -0400	github.com/PedroLuisBernardos/inf3135-a2020
0	0	0	2020-10-18 13:21:11 -0400	2020-10-13 13:50:02 -0400	2020-10-18 13:16:06 -0400	2020-10-12 15:01:12 -0400		github.com/PierreOlivierBrillant/inf3135-a2020
0	0	0	2020-10-13 20:49:56 -0400	2020-10-13 20:22:42 -0400	2020-10-13 16:53:21 -0400	2020-10-13 16:53:21 -0400	2020-10-13 17:13:27 -0400	github.com/poulayyy/inf3135-a2020
128	0	0						github.com/Rehouma63/inf3135-a2020
0	1	0	2020-10-17 12:28:29 -0400	2020-10-17 17:51:54 -0400	2020-10-18 20:56:59 -0400			github.com/Rurs21/inf3135-a2020
0	0	0	2020-10-17 22:08:58 -0400	2020-10-17 20:56:41 -0400	2020-10-17 20:56:41 -0400		2020-10-17 20:56:41 -0400	github.com/sachaRuimy/inf3135-a2020
0	1	0	2020-10-11 21:17:27 -0400	2020-10-11 20:17:20 -0400	2020-10-11 20:39:14 -0400		2020-10-11 20:17:20 -0400	github.com/SahnounAbdelaziz/inf3135-a2020
0	1	0	2020-10-01 21:13:05 -0400					github.com/sakuragts/inf3135-a2020
0	0	0	2020-10-17 12:32:13 -0400	2020-10-18 16:57:14 -0400	2020-10-18 16:43:34 -0400	2020-10-17 12:33:26 -0400	2020-10-18 16:13:52 -0400	github.com/StevenTran3007/inf3135-a2020
0	128	0	2020-10-15 21:56:40 -0400		2020-10-18 21:06:02 -0400	2020-10-18 21:06:02 -0400		github.com/TarekElTayeh/inf3135_a2020
0	0	0	2020-10-18 19:58:14 -0400	2020-10-18 19:43:19 -0400	2020-10-18 19:43:19 -0400	2020-10-15 18:42:32 -0400	2020-10-18 19:43:19 -0400	github.com/thierrymayombot/inf3135-a2020
0	0	0	2020-10-18 19:29:26 -0400	2020-10-18 17:59:25 -0400	2020-10-18 00:59:49 -0400	2020-10-03 14:00:33 -0400	2020-10-18 19:00:05 -0400	github.com/tq3636/inf3135-a2020
# de depot :69

erreur :
128: Le nom du projet est errone ou inexistant.
  1: You are not allowed to push into this branch. *Droits d'ecriture dans la branch master.*
push != 0 : est-ce que la branche master est la branche par default? l'enseignant est collaborateur?
